ENG;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
10290;Minister of Armament;Richard Haldane;1914;1933;SL;Infantry Proponent;High;2460;X
10291;Minister of Armament;David Lloyd George;1914;1933;SL;Military Entrepreneur;Low;2467;X
10292;Minister of Armament;John Edward Bernard Seely;1914;1933;SL;Infantry Proponent;High;2479;X
10293;Minister of Armament;John Burns;1914;1933;LWR;Resource Industrialist;High;2480;X
10294;Minister of Armament;Shapurji Saklatvala;1914;1933;ST;Theoretical Scientist;Medium;2481;X
10295;Minister of Armament;David Beatty;1914;1933;PA;Battle Fleet Proponent;High;2449;X
10296;Minister of Armament;Winston Churchill;1914;1933;ML;Battle Fleet Proponent;Medium;2482;X
10297;Minister of Armament;Herbert Kitchener;1915;1933;ML;Infantry Proponent;Medium;2435;X
10298;Minister of Armament;Reginald McKenna;1915;1933;ML;Administrative Genius;High;2483;X
10299;Minister of Armament;Andrew Bonar Law;1916;1933;ML;laissez-faire capitalist;High;2468;X
10300;Minister of Armament;Edward Stanley;1916;1933;ML;Infantry Proponent;Medium;2484;X
10301;Minister of Armament;Austen Chamberlain;1919;1933;ML;laissez-faire capitalist;High;2462;X
10302;Minister of Armament;Herbert Samuel;1919;1933;SL;Resource Industrialist;Medium;2485;X
10303;Minister of Armament;Robert Horne;1921;1933;ML;Resource Industrialist;High;2486;X
10304;Minister of Armament;Stanley Baldwin;1922;1933;ML;laissez-faire capitalist;High;2469;X
10305;Minister of Armament;Neville Chamberlain;1923;1933;ML;laissez-faire capitalist;High;2487;X
10306;Minister of Armament;Philip Snowden;1924;1933;SD;Resource Industrialist;Medium;2488;X
10307;Minister of Security;Herbert Henry Asquith;1914;1933;SL;Compassionate Gentleman;High;2466;X
10308;Minister of Security;John Morley;1914;1933;SL;Silent Lawyer;High;2477;X
10309;Minister of Security;Aretas Akers-Douglas;1914;1933;ML;Crime Fighter;High;2489;X
10310;Minister of Security;Herbert Gladstone;1914;1933;SL;Silent Lawyer;High;2490;X
10311;Minister of Security;Arthur Lee;1914;1933;ML;Crime Fighter;High;2491;X
10312;Minister of Security;Reginald McKenna;1914;1933;SL;Silent Lawyer;High;2483;X
10313;Minister of Security;Winston Churchill;1914;1933;SL;Crime Fighter;High;2482;X
10314;Minister of Security;Andrew Bonar Law;1914;1933;ML;Crime Fighter;High;2468;X
10315;Minister of Security;Charles Trevelyan;1914;1933;LWR;Silent Lawyer;High;2492;X
10316;Minister of Security;Roger Keyes;1914;1933;PA;Man of the People;High;2493;X
10317;Minister of Security;Tom Mann;1914;1933;ST;Crime Fighter;Medium;2475;X
10318;Minister of Security;John Simon;1915;1933;SL;Crime Fighter;High;2494;X
10319;Minister of Security;Herbert Samuel;1916;1933;SL;Compassionate Gentleman;High;2485;X
10320;Minister of Security;George Cave;1916;1933;ML;Crime Fighter;High;2443;X
10321;Minister of Security;Edward Shortt;1919;1933;ML;Silent Lawyer;High;2495;X
10322;Minister of Security;Arthur Henderson;1922;1933;SD;Man of the People;Very High;2496;X
10323;Minister of Security;William Bridgeman;1922;1933;ML;Silent Lawyer;High;unknown;X
10324;Minister of Security;William Joynson-Hicks;1924;1933;ML;Compassionate Gentleman;High;2497;X
10325;Minister of Security;Lord Beaverbrook;1918;1964;SC;Media magnate;Very High;M1063;X
10326;Foreign minister;Arnold Spencer Leese;1933;1964;NS;The Cloak N Dagger Schemer;Medium;6010;x
10327;Head of military intelligence;Enoch Powell;1946;1964;SC;Political Specialist;high;6011;x
10328;Head of Government;Enoch Powell;1950;1964;PA;Political Protege;high;6011;x
10329;Minister of Armament;Montagu Collet Norman;1933;1964;FA;Laissez-Faire Capitalist;medium;6012;x
10330;Minister of Armament;Montagu Collet Norman;1933;1964;PA;Laissez-Faire Capitalist;medium;6012;x
10331;Chief of Staff;Colin Mcvean Gubbins;1940;1964;SC;School of Mass Combat;High;6013;x
10332;Foreign Minister;Sir Harold George Nicolson;1931;1934;PA;Great Compromiser;Very High;6014;x
10333;Foreign Minister;Sir Harold George Nicolson;1935;1964;SC;Great Compromiser;Very High;6014;x
10334;Head of Government;Ramsay MacDonald;1930;1937;SL;Naive Optimist;High;8139;x
10335;Minister of Security;Sir John Gilmour;1921;1940;SL;Compassionate Gentleman;High;8140;
10336;Foreign Minister;Sir John Simon;1933;1964;SC;The Cloak N Dagger Schemer;High;M1005;X
10337;Chief of Air Force;Sir John Salmond;1918;1943;SL;Air Superiority Doctrine;Very High;8141;X
