JAP;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
50281;Head of Military Intelligence;Yamagata Aritomo;1914;1936;FA;Political Specialist;Medium;2779;X
50282;Head of Military Intelligence;Yamamoto Gonnohyoe;1914;1936;ML;Naval Intelligence Specialist;Medium;2762;X
50283;Head of State;Hirohito;1918;1936;ML;Autocratic Charmer;Medium;2785;X
50284;Head of State;Hirohito;1918;1936;PA;Autocratic Charmer;Medium;2785;X
50285;Head of State;Hirohito;1918;1936;NS;Autocratic Charmer;Medium;2785;X
50286;Head of State;Yoshihito;1914;1936;ML;Insignificant Layman;High;2786;X
50287;Head of State;Yoshihito;1914;1936;PA;Insignificant Layman;Medium;2786;X
50288;Head of State;Yoshihito;1914;1936;NS;Insignificant Layman;Medium;2786;X
50289;Minister of Armament;Goto Shinpei;1914;1936;FA;Resource Industrialist;Medium;2784;X
50290;Minister of Armament;Hamaguchi Osachi;1914;1936;SL;Administrative Genius;Medium;2775;X
50291;Minister of Armament;Ichiki Otohiko;1914;1936;FA;Military Entrepreneur;Medium;2787;X
50292;Minister of Armament;Inoue Junnosuke;1914;1936;SD;Resource Industrialist;Medium;2788;X
50293;Minister of Armament;Kawakami Hajime;1914;1936;ST;Resource Industrialist;Medium;2789;X
50294;Minister of Armament;Ozaki Yukio;1914;1936;SD;Laissez-Faire Capitalist;Medium;2790;X
50295;Minister of Armament;Saionji Kinmochi;1914;1936;ML;Laissez-Faire Capitalist;Medium;2772;X
50296;Minister of Armament;Sakai Toshihiko;1914;1936;ST;Military Entrepreneur;Medium;2777;X
50297;Minister of Armament;Sakatani Yoshio;1914;1936;ML;Infantry Proponent;Medium;2791;X
50298;Minister of Armament;Shota Kazue;1914;1936;ML;Resource Industrialist;Medium;2792;X
50299;Minister of Armament;Shibusawa Eiichi;1914;1936;ML;Administrative Genius;Medium;2793;X
50300;Minister of Armament;Takahashi Korekiyo;1914;1936;ML;Administrative Genius;High;2778;X
50301;Minister of Armament;Taketomi Tokitoshi;1914;1936;ML;Laissez-Faire Capitalist;Medium;2794;X
50302;Minister of Armament;Wakatsuki Reijiro;1914;1936;ML;Corrupt Kleptocrat;Medium;2795;X
50303;Minister of Armament;Yamakawa Hitoshi;1914;1936;ST;Infantry Proponent;Medium;2780;X
50304;Minister of Armament;Yamamoto Tatsuo;1914;1936;PA;Laissez-Faire Capitalist;Medium;2796;X
50305;Minister of Security;Goto Shinpei;1914;1936;PA;Prince of Terror;Medium;2784;X
50306;Minister of Security;Hara Takashi;1914;1936;SD;Compassionate Gentleman;High;2776;X
50307;Minister of Security;Hirata Tosuke;1914;1936;ML;Crime Fighter;Medium;2797;X
50308;Minister of Security;Ikki Kitokuro;1914;1936;ML;Silent Lawyer;Medium;2798;X
50309;Minister of Security;Kiyoura Keigo;1914;1936;FA;Compassionate Gentleman;Medium;2768;X
50310;Minister of Security;Mizuno Rentaro;1914;1936;FA;Crooked Kleptocrat;Medium;2799;X
50311;Minister of Security;Osugi Sakae;1914;1936;ST;Crime Fighter;Medium;2800;X
50312;Minister of Security;Oura Kanetake;1914;1936;FA;Silent Lawyer;Medium;3872;X
50313;Minister of Security;Ozaki Yukio;1914;1936;SD;Man of the People;Medium;2790;X
50314;Minister of Security;Tokonami Takejiro;1914;1936;SC;Efficient Sociopath;Medium;2801;X
50315;Minister of Security;Yamakawa Hitoshi;1914;1936;ST;Compassionate Gentleman;Medium;2780;X
50316;Minister of Armament;Genda Minoru;1959;1964;ML;Military Entrepreneur;Very high;6083;x
50317;Chief of Navy;Genda Minoru;1939;1964;PA;Open Seas Doctrine;Very high;6083;x
50318;Chief of Navy;Genda Minoru;1939;1964;SC;Open Seas Doctrine;Very high;6083;x
50319;Minister of Security;Okuma Shigenobu;1914;1936;PA;Crime Fighter;Very High;2771;X
50320;Chief of Staff;Yamagata Aritomo;1914;1936;SC;School of Fire Support;Very high;2779;X
50321;Chief of Navy;Yamagata Aritomo;1914;1936;SC;Open Seas Doctrine;Very high;2779;x
50322;Chief of Air Force;Yamagata Aritomo;1914;1936;SC;Army Aviation Doctrine;Very high;2779;X
50323;Head of Government;Saito Makoto;1933;1934;ML;Old Admiral;High;2759;X
