##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;§A = 0,64,0;;;;;;;;;;X
##;§B = 0,0,192;;;;;;;;;;X
##;§C = 128,0,0;;;;;;;;;;X
##;§D = 255,255,0;;;;;;;;;;X
##;§E = 255,0,255;;;;;;;;;;X
##;§F = 255,128,0;;;;;;;;;;X
##;§G = 0,100,0;;;;;;;;;;X
##;§H = 128,128, 128;;;;;;;;;;X
##;§I = 0,0,255;;;;;;;;;;X
##;§J = 0,192,0;;;;;;;;;;X
##;§M = 100,255,100;;;;;;;;;;X
##;§N = 255,100,100;;;;;;;;;;X
##;§R = 240,0,0;;;;;;;;;;X
##;§W = 255,255,255;;;;;;;;;;X
##;§Y = 208,232,248;;;;;;;;;;X
##;§Z = 0,0,0;;;;;;;;;;X
##;§§ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
ALLIANCE_ENTENTE;T. Entente;Triple Entente;Triplice Intesa;Triple Entente;Entente;Ententa;;Антанта;;;X
DPERSONALITY_INFANTRY_PROPONENT;The Infantry Proponent is not only an able administrator and politician, but he also is meddling in the area of Grand Strategy. He believes that Infantry is still the most important fighting force.;Ce ministre maоtrise non seulement l’art de la politique et de l’administration, mais possиde йgalement les qualitйs d’un stratиge hors norme. Il privilйgie toujours, par conviction personnelle, l'infanterie. Ceci vient probablement de sa longue expйrience militaire ou de sa certitude quant а l’issue tragique de la guerre si sa branche prйfйrйe n’est pas suffisamment dйveloppйe.;Quest'uomo non и solo un abile politico e amministratore, ma anche un buon conoscitore della grande strategia. И convinto che la fanteria sia ancora la potenza piщ importante.;El partidario de la infanterнa no sуlo es un polнtico y administrador muy capaz, sino que tambiйn hace sus pinitos con la Gran Estrategia. Se decanta claramente por una de las ramas de las Fuerzas Armadas. Esto puede venirle de haber pertenecido durante un largo periodo de tiempo a ella o por estar seguro de que su patria sуlo ganarб la guerra si esa rama se desarrolla bien.;Der Befьrworter der Infateriewaffe ist nicht nur ein fдhiger Verwalter und Politiker, er mischt sich auch in die GroЯe Strategie ein. Sein Denken liegt zugunsten eines Truppenteils der Streitkrдfte. Dies liegt wahrscheinlich an seiner langen Zugehцrigkeit zu dieser Truppe oder seiner Ьberzeugung, dass allein diese Truppe entwickelt genug ist, das Heimatland zu retten.;Zwolennik piechoty jest nie tylko utalentowanym politykiem i zarz№dc№ cywilnym, ale stara siк takїe wpіyn№ж na strategiк wojenn№ swojego  kraju. Mocno popiera jeden z rodzajуw siі zbrojnych. Przyczyn№ moїe byж dіugi okres wspуіpracy z nimi lub silne przekonanie, їe tylko one zapewni№ ojczyџnie zwyciкstwo.;;У этого опытного администратора и политика есть свое мнение по вопросам большой стратегии. Это апологет одного вида ВС, с которым он был долго связан. Он убежден, что только превосходство этого вида ВС принесет его стране победу в войне. ;;;X
DPERSONALITY_AIR_TO_GROUND_PROPONENT;The Air-to-Ground Proponent is not only an able administrator and politician, but he also is meddling in the area of Grand Strategy. He believes that bombing is the best way to defeat the enemy army.;Ce ministre maоtrise non seulement l’art de la politique et de l’administration, mais possиde йgalement les qualitйs d’un stratиge hors norme. Il privilйgie toujours, par conviction personnelle, le bombardement tactique. Ceci vient probablement de sa longue expйrience militaire ou de sa certitude quant а l’issue tragique de la guerre si sa branche prйfйrйe n’est pas suffisamment dйveloppйe.;Quest'uomo non и solo un abile politico e amministratore, ma anche un buon conoscitore della grande strategia. И convinto che il bombardamento sia il modo migliore per sconfiggere il nemico.;El partidario del aire-tierra no sуlo es un polнtico y administrador muy capaz, sino que tambiйn hace sus pinitos con la Gran Estrategia. Se decanta claramente por una de las ramas de las Fuerzas Armadas. Esto puede venirle de haber pertenecido durante un largo periodo de tiempo a ella o por estar seguro de que su patria sуlo ganarб la guerra si esa rama se desarrolla bien.;Der Luft-Boden-Befьrworter nicht nur ein fдhiger Verwalter und Politiker, er mischt sich auch in die GroЯe Strategie ein. Sein Denken liegt zugunsten eines Truppenteils der Streitkrдfte. Dies liegt wahrscheinlich an seiner langen Zugehцrigkeit zu dieser Truppe oder seiner Ьberzeugung, dass allein diese Truppe entwickelt genug ist, das Heimatland zu retten.;Zwolennik nalotуw na cele l№dowe jest nie tylko utalentowanym politykiem i zarz№dc№ cywilnym, ale stara siк takїe wpіyn№ж na strategiк wojenn№ swojego  kraju. Mocno popiera jeden z rodzajуw siі zbrojnych. Przyczyn№ moїe byж dіugi okres wspуіpracy z nimi lub silne przekonanie, їe tylko one zapewni№ ojczyџnie zwyciкstwo.;;У этого опытного администратора и политика есть свое мнение по вопросам большой стратегии. Это апологет одного вида ВС, с которым он был долго связан. Он убежден, что только превосходство этого вида ВС принесет его стране победу в войне. ;;;X
DPERSONALITY_AIR_TO_SEA_PROPONENT;The Air-to-Sea Proponent is not only an able administrator and politician, but he also is meddling in the area of Grand Strategy. He believes that bombing is now the best way to defeat the enemy's navy.;Ce ministre maоtrise non seulement l’art de la politique et de l’administration, mais possиde йgalement les qualitйs d’un stratиge hors norme. Il privilйgie toujours, par conviction personnelle, le bombardement naval. Ceci vient probablement de sa longue expйrience militaire ou de sa certitude quant а l’issue tragique de la guerre si sa branche prйfйrйe n’est pas suffisamment dйveloppйe.;Quest'uomo non и solo un abile politico e amministratore, ma anche un buon conoscitore della grande strategia. И convinto che il bombardamento sia il modo migliore per sconfiggere la flotta nemica.;El partidario del aire-mar no sуlo es un polнtico y administrador muy capaz, sino que tambiйn hace sus pinitos con la Gran Estrategia. Se decanta claramente por una de las ramas de las Fuerzas Armadas. Esto puede venirle de haber pertenecido durante un largo periodo de tiempo a ella o por estar seguro de que su patria sуlo ganarб la guerra si esa rama se desarrolla bien.;Der Luft-See-Befьrworter ist nicht nur ein fдhiger Verwalter und Politiker, er mischt sich auch in die GroЯe Strategie ein. Sein Denken liegt zugunsten eines Truppenteils der Streitkrдfte. Dies liegt wahrscheinlich an seiner langen Zugehцrigkeit zu dieser Truppe oder seiner Ьberzeugung, dass allein diese Truppe entwickelt genug ist, das Heimatland zu retten.;Zwolennik nalotуw na cele morskie jest nie tylko utalentowanym politykiem i zarz№dc№ cywilnym, ale stara siк takїe wpіyn№ж na strategiк wojenn№ swojego  kraju. Mocno popiera jeden z rodzajуw siі zbrojnych. Przyczyn№ moїe byж dіugi okres wspуіpracy z nimi lub silne przekonanie, їe tylko one zapewni№ ojczyџnie zwyciкstwo.;;У этого опытного администратора и политика есть свое мнение по вопросам большой стратегии. Это апологет одного вида ВС, с которым он был долго связан. Он убежден, что только превосходство этого вида ВС принесет его стране победу в войне. ;;;X
DPERSONALITY_STRATEGIC_AIR_PROPONENT;The Strategic Air Proponent is not only an able administrator and politician, but he also is meddling in the area of Grand Strategy. He believes that bombing the enemy's industry is now the way to win the war. ;Ce ministre maоtrise non seulement l’art de la politique et de l’administration, mais possиde йgalement les qualitйs d’un stratиge hors norme. Il privilйgie toujours, par conviction personnelle, le bombardement stratйgique. Ceci vient probablement de sa longue expйrience militaire ou de sa certitude quant а l’issue tragique de la guerre si sa branche prйfйrйe n’est pas suffisamment dйveloppйe.;Quest'uomo non и solo un abile politico e amministratore, ma anche un buon conoscitore della grande strategia. И convinto che il bombardamento delle industrie del nemico sia il modo migliore per vincere la guerra.;El partidario del bombardeo estratйgico no sуlo es un polнtico y administrador muy capaz, sino que tambiйn hace sus pinitos con la Gran Estrategia. Se decanta claramente por una de las ramas de las Fuerzas Armadas. Esto puede venirle de haber pertenecido durante un largo periodo de tiempo a ella o por estar seguro de que su patria sуlo ganarб la guerra si esa rama se desarrolla bien.;Der Befьrworter der strategischen Luftangriffe ist nicht nur ein fдhiger Verwalter und Politiker, er mischt sich auch in die GroЯe Strategie ein. Sein Denken liegt zugunsten eines Truppenteils der Streitkrдfte. Dies liegt wahrscheinlich an seiner langen Zugehцrigkeit zu dieser Truppe oder seiner Ьberzeugung, dass allein diese Truppe entwickelt genug ist, das Heimatland zu retten.;Zwolennik nalotуw strategicznych jest nie tylko utalentowanym politykiem i zarz№dc№ cywilnym, ale stara siк takїe wpіyn№ж na strategiк wojenn№ swojego  kraju. Mocno popiera jeden z rodzajуw siі zbrojnych. Przyczyn№ moїe byж dіugi okres wspуіpracy z nimi lub silne przekonanie, їe tylko one zapewni№ ojczyџnie zwyciкstwo.;;У этого опытного администратора и политика есть свое мнение по вопросам большой стратегии. Это апологет одного вида ВС, с которым он был долго связан. Он убежден, что только превосходство этого вида ВС принесет его стране победу в войне. ;;;X
DPERSONALITY_SILENT_LAWYER;The Silent Lawyer directs his department with little imagination and creativity, but he is just.;L’avocat discret dirige son ministиre avec une imagination et une crйativitй trиs limitйes, mais c’est un homme qui fait preuve d'un grand sens de la justice.;Quest'uomo dirige il proprio ufficio con poca immaginazione e creativitа, ma и imparziale.;Dirige su departamento con muy poca imaginaciуn y creatividad, pero es justo.;Der schweigsame Anwalt fьhrt seine Abteilung mit wenig Vorstellungskraft und Kreativitдt, ist jedoch gerecht.;Cichy prawnik kieruje swoim ministerstwem bez duїej wyobraџni. czy kreatywnoњci, jednak nie moїna mu odmуwiж uczciwoњci.;;Незаметный законник не отличается воображением и творческим подходом, но справедлив.;;;X
DPERSONALITY_COMPASSIONATE_GENTLEMAN;The Compassionate Gentleman is a jovial man who wishes to please all. The population like him, but he is known to be soft on crimes and terrorism.;Le philanthrope est un homme jovial qui espиre satisfaire les dйsirs du plus grand nombre. Il a une cote de popularitй trиs importante mais est rйputй laxiste dans le domaine de la rйpression criminelle et terroriste.;Quest'uomo и gioviale e tenta di accontentare tutti. Solitamente il popolo lo ama, sebbene sia poco efficace contro il crimine e il terrorismo.;Es un hombre jovial que desea agradar a todos. La poblaciуn suele quererle, aunque se sabe que es blando con los crнmenes y el terrorismo.;Der mitleidige Gentleman ist ein heiterer Mann, der die Bedьrfnisse aller befriedigen mцchte. Obwohl er nicht hart gegen Kriminalitдt und Terrorismus vorgeht, ist er in der Bevцlkerung normalerweise beliebt.;Miіy staruszek to dobroduszny, pogodny czіowiek staraj№cy siк zadowoliж wszystkich. Spoіeczeсstwo go lubi, wiadomo jednak, їe brakuje mu zdecydowania w walce z przestкpczoњci№.;;Благожелательный джентльмен - это добродушный человек, который старается угодить всем и каждому. Народ любит его, однако он слишком мягок к преступникам и террористам.;;;X
DPERSONALITY_CRIME_FIGHTER;The Crime Fighter has devoted his life to combating crime. The people like his firm grip and feel reassured that they are safe.;Le chasseur de criminels a consacrй sa vie а combattre toutes les formes de criminalitй, mais dйtourne parfois la loi pour le bien-кtre de la communautй.;Quest'uomo ha dedicato la sua vita a combattere il crimine. La gente ama il suo approccio rigoroso e si sente sicura.;Ha dedicado su vida a combatir el crimen allн donde йste muestre su rostro. Sin embargo, algunas veces la ley necesita de una cierta flexibilidad en aras del bien comъn.;Der Verbrechensbekдmpfer hat sein Leben dem Kampf gegen die Kriminalitдt gewidmet. Manchmal jedoch muss das Gesetz zum Wohle aller etwas kreativer ausgelegt werden...;Ostatni sprawiedliwy jest w peіni oddany zwalczaniu przestкpczoњci. Czasem zdarzy mu siк nagi№ж prawo dla wspуlnego dobra.;;Борец с преступностью посвятил всю свою жизнь борьбе с преступностью в любом ее проявлении. Народ любит его за жесткую хватку и за гарантированный порядок в обществе.;;;X
DPERSONALITY_PRINCE_OF_TERROR;The Prince of Terror lives by the rule: it is better to be feared than to be loved. However, extreme violence may actually increase dissent, a factor the Prince of Terror is unable to see.;Le dicton qui dйfinirait le mieux son mode de vie est le suivant: mieux vaut susciter la crainte que l’amour. Il ignore cependant qu’une violence exacerbйe risque, en fin de compte, d’accroоtre l'instabilitй au sein du pays.;Quest'uomo ha una sola regola: farsi temere и meglio che farsi amare. Ciononostante, un livello di violenza troppo alto puт generare del dissenso (un fattore che il principe del terrore non и in grado di vedere).;Vive segъn la siguiente regla: es mejor que te teman a que te amen. Sin embargo, las cantidades ingentes de violencia pueden incrementar la disensiуn, un factor que el prнncipe del terror es incapaz de ver.;Der Fьrst des Schreckens lebt nach dem Motto: Besser gefьrchtet als geliebt zu werden. Extreme Gewalt kann jedoch Volkes Unmut auch steigern, eine Tatsache, die der Fьrst des Schreckens nicht sieht.;Ksi№їк terroru stosuje zasadк: 'lepiej jeїeli siк ciebie boj№ niї jeїeli Ciк kochaj№'. Nadmierny terror prowadzi jednak do wzrostu niezadowolenia w spoіeczeсstwie, faktu niedostrzegalnego dla ksiкcia.;;Кровавый палач действует по принципу: 'Боятся - значит, уважают'. Впрочем, бесконтрольное насилие и произвол могут увеличить недовольство в обществе, хотя он и отказывается это признать.;;;X
DPERSONALITY_BACK_STABBER;The Back Stabber uses his position to root out dissent and disloyal elements within the elite, but he is unable to cope with occupied territories because of his lack of trustworthiness.;Le fourbe se sert de sa position pour йliminer les sujets dйloyaux ou dissidents au sein de l’йlite de son pays. Il est en revanche tout а fait incapable de gйrer les territoires occupйs а cause son caractиre fallacieux.;Quest'uomo sfrutta la propria posizione per sradicare il dissenso e gli elementi sleali all'interno dell'йlite, ma non riesce a gestire i territori occupati a causa della sua inattendibilitа.;Usa su posiciуn para erradicar los elementos de disensiуn y deslealtad dentro de la elite, pero es incapaz de encargarse de los territorios ocupados por lo poco de fiar que es.;Der Verrдter verwendet seine Position, um unzufriedene und untreue Teile der Elite auszurotten. Aufgrund seiner Unzuverlдssigkeit ist er aber fьr den Einsatz in besetzten Gebieten nicht geeignet.;Zdradliwa їmija uїywa swojej pozycji do wykorzenienia wszelkiego niezadowolenia wњrуd elit. Nie jest jednak w stanie zapanowaж nad  okupowanymi terytoriami jako czіowiek kompletnie niegodny zaufania.;;Интриган использует свои полномочия для искоренения недовольства и уничтожения нелояльных элементов элиты общества. Но он неспособен навести порядок на оккупированных территориях.;;;X
DPERSONALITY_MAN_OF_THE_PEOPLE;The Man of the People knows how to talk to both high and low in society. For him it is a crusade to ease the burden of the poor. However, he is in an awkward position when trying to help people in the occupied zones, and his hands are bound by the military.;L’homme du peuple est un orateur nй, il sait parfaitement adapter son discours au public qui le reзoit, mais sa situation devient particuliиrement dйlicate lorsqu’il tente d’aider les habitants des zones occupйes, d’autant plus qu’il est tenu de collaborer avec l’armйe.;Quest'uomo sa come parlare alle persone di qualsiasi classe sociale. La sua crociata и alleviare il fardello dei poveri. Ciononostante, si trova in difficoltа quando tenta di aiutare la gente che abita le zone occupate e le sue mani sono legate dai militari.;Sabe cуmo hablar a todos los estratos de la sociedad. Para йl es una cruzada personal aliviar las cargas de los pobres. Sin embargo, se ve en una posiciуn complicada cuando intenta ayudar a la gente de las zonas ocupadas y los militares le atan las manos.;Der Mann des Volkes weiЯ mit Menschen aller Gesellschaftsschichten gleichsam zu reden. Fьr ihn ist es ein Kreuzzug gegen die Nцte der Armen. Leider befindet er sich auch in einer diffizilen Position, wenn er versucht, Menschen in den besetzten Gebieten zu helfen, da seine Hдnde durch das Militдr gebunden sind.;Ulubieniec tіumуw wie jak zjednaж sobie wszystkich. Potrafi przemуwiж do robotnika, profesora i bogacza. Jego celem jest poprawa losu najbiedniejszych, co stawia go czasem w niezrкcznej pozycji, gdy jego dziaіania w okupowanych prowincjach s№ ograniczane przez wojskowych.;;Человек из народа умеет разговаривать как с представителями элиты, так и с простыми людьми. Его главная цель – облегчить участь бедняков. Но на оккупированных территориях его руки связаны, так как ими управляет военная администрация.;;;X
DPERSONALITY_EFFICIENT_SOCIOPATH;The Efficient Sociopath has no remorse and uses any means necessary to further his goals. However, he always works in the shadows, trying to hide his personal perversions and the excess violence of his minions from the population and his fellow ministers.;Pour le sociopathe, la fin justifie les moyens et la politique doit s’exercer sans subir l’influence d’une йthique inutile. Malgrй l’affirmation de ce credo, il cherche toujours а travailler dans l’ombre pour que le peuple et les autres ministres ne perзoivent ni ses perversions ni la violence de ses employйs.;Quest'uomo non prova alcun rimorso e usa qualunque mezzo per raggiungere i propri scopi. Lavora sempre nell'ombra, cercando di nascondere al popolo e ai colleghi ministri le sue perversioni personali e l'eccessiva violenza dei suoi servitori.;Carece de remordimientos y usa cualquier medio para alcanzar sus fines. No obstante, siempre trabaja en la sombra, intentando ocultar sus perversiones personales y el exceso de violencia de sus esbirros a ojos de la poblaciуn y de sus colegas ministros.;Der 'Effiziente Soziopath' kennt keine Reue und verfolgt seine Ziele mit allen ihm zur Verfьgung stehenden Mitteln. Er arbeitet jedoch immer im Hintergrund und versucht, seine persцnlichen Perversionen und die exzessive Gewalt seiner Schergen vor der Bevцlkerung und seinen Mitministern zu verbergen.;Czіowiek bez skrupuіуw wykorzysta wszystkie dostкpne њrodki, aby osi№gn№ж zamierzony cel. Zawsze jednak bкdzie pozostawaі w cieniu, ukrywaj№c przed podwіadnymi i kolegami z gabinetu swoje perwersyjne upodobanie do przemocy. ;;Искусный манипулятор не знает жалости и использует любые средства для достижения цели. Однако он всегда прячется в тени и пытается скрыть свои извращенные методы и чрезмерную жестокость своих подручных от народа и коллег по кабинету министров.;;;X
DPERSONALITY_TECHNICAL_SPECIALIST;The Technical Specialist concentrates his effort on the study of the modernization of foreign equipment and units to draw conclusions on how to best defeat them.;Le technicien se focalise sur les projets de modernisation des йquipements et des unitйs militaires йtrangers afin de dйterminer quels sont les moyens а mettre en oeuvre pour vaincre l’ennemi.;Quest'uomo concentra i propri sforzi sullo studio della modernizzazione delle unitа e dell'equipaggiamento del nemico, cercando di trarre conclusioni sul metodo piщ efficace per sconfiggerlo.;Concentra su esfuerzo en el estudio de la modernizaciуn del equipamiento y unidades extranjeras para sacar conclusiones sobre cуmo derrotarlos mejor.;Der Technikspezialist konzentriert seine Bemьhungen auf den Modernisierungsgrad des Feindes, um daraus Schlьsse zu ziehen, wie man ihn am besten besiegen kann.;Specjalista technolog koncentruje siк na badaniu wrogiego uzbrojenia  i jednostek oraz na odkrywaniu jego sіabych punktуw.;;Технический специалист тщательно следит за развитием военной техники за рубежом и разрабатывает средства для эффективной борьбы с ней.;;;X
DPERSONALITY_LOGISTICS_SPECIALIST;The Logistics Specialist uses the old General Staff technique of monitoring the movement of supplies to learn where a new threat is mounting.;Le logisticien utilise les vieilles techniques d’йtat-major consistant а surveiller les dйplacements des approvisionnements militaires pour savoir а quels endroits les menaces sont les plus importantes.;Quest'uomo utilizza le vecchie tecniche di monitoraggio degli spostamenti dei rifornimenti per scoprire dove si annidi una nuova minaccia.;Usa la vieja tйcnica del estado mayor de seguir el movimiento de los suministros para saber dуnde se estб gestando una nueva amenaza.;Der Logistikspezialist setzt die alte Generalstabs-Technik ein, Versorgungsbewegungen zu ьberwachen, um zu erfahren, ob neue Gefahren im Anzug sind.;Specjalista logistyk uїywa starego sztabowego sposobu analizowana ruchуw zaopatrzenia w celu odkrycia koncentracji wrogich jednostek.;;Специалист по тылу и снабжению использует отработанные в генштабе методы слежения за организацией снабжения войск противника, чтобы предвидеть возникновение новой угрозы.;;;X
DPERSONALITY_POLITICAL_SPECIALIST;The Political Specialist uses his 'technical embassy personnel' to fight a secret war of counter-intelligence with the enemy.;Le politicien utilise son 'personnel diplomatique qualifiй' pour mener une guerre avec les services de contre-espionnage ennemi.;Quest'uomo sfrutta il proprio 'personale tecnico dell'ambasciata' per condurre una guerra segreta di controspionaggio.;Utiliza a su 'personal tйcnico de embajada' para librar una guerra secreta de contraespionaje con el enemigo.;Der Politikspezialist nutzt sein 'technisches Botschaftspersonal' fьr geheime Gegenspionage.;Specjalista polityk uїywa swojego 'personelu technicznego' w ambasadach do prowadzenia nieustaj№cej wojny wywiadu i kontrwywiadu.;;Специалист по тайной политике использует т.н. технический персонал посольств для борьбы с вражеской разведкой.;;;X
DPERSONALITY_DISMAL_ENIGMA;The Dismal Enigma is a man of secrets, and if he were not able to produce an 'Ace of Intelligence' from time to time he would have had lost his job ages ago.;L'homme de l'ombre est trиs secret et aurait certainement perdu son travail s’il n’avait occasionnellement manifestй un talent d’agent secret hors norme.;Ecco l'uomo dei segreti. Se non fosse in grado di addestrare degli agenti di spionaggio di tanto in tanto, avrebbe giа perso il posto molti anni fa.;Es un hombre de secretos, y si no fuera porque es capaz de producir un as de la inteligencia de vez en cuando, habrнa perdido su trabajo hace aсos.;Das 'Dьstere Rдtsel' ist ein Mann der Geheimnisse. Wдre er nicht in der Lage, von Zeit und Zeit einen Geheimdienstclou hervorzubringen, hдtte er seinen Job schon vor langer Zeit verloren.;Czіowiek enigma jest peіen tajemnic. Gdyby nie byі w stanie szkoliж od czasu do czasu prawdziwych asуw wywiadu, juї dawno zostaіby zmuszony do zmiany pracy.;;Человек-загадка очень скрытен, и если бы он время от времени не проявлял себя как первоклассный разведчик, то давно бы потерял свою работу.;;;X
DPERSONALITY_INDUSTRIAL_SPECIALIST;The Industrial Specialist concentrates his efforts on studying open industrial and economic sources of the enemy and thus often learns what will come by analyzing what they are producing at the moment.;L’industriel se focalise sur les ressources industrielles et йconomiques de l’ennemi et dйcouvre souvent ce qui se prйpare dans le camp adverse en йtudiant soigneusement sa production industrielle.;Quest'uomo concentra i propri sforzi sullo studio delle risorse industriali ed economiche del nemico. Spesso riesce a predirne gli sviluppi, analizzandone le produzione attuale.;Concentra sus esfuerzos en las fuentes industriales y econуmicas que el enemigo tiene abiertas y asн suele saber lo que vendrб al analizar lo que estйn produciendo en cada momento.;Der Industriespezialist konzentriert seine Arbeit auf das Studium frei zugдnglicher Industrie- und Wirtschaftsquellen des Feindes und erfдhrt durch die Analyse dessen momentaner Produktion oftmals Wissenswertes ьber dessen Plдne.;Specjalista przemysіowiec skupia siк na analizowaniu procesуw przemysіowych i ekonomicznych wroga i w ten sposуb czкsto, na podstawie informacji o produkcji wroga umie przewidzieж jego posuniкcia.;;Промышленный специалист тщательно изучает открытые источники по экономике противника. Он знает, что в данный момент производит противник, и на основе анализа этой информации часто может предсказать его намерения.;;;X
DPERSONALITY_NAVAL_INTELLIGENCE_SPECIALIST;The Naval Intelligence Specialist uses the old Naval Staff technique of monitoring the basing of ships to learn where a new threat is mounting.;Le sonar utilise les vieilles techniques d’йtat-major consistant а surveiller les dйplacements des navires dans les ports pour savoir а quels endroits les menaces sont les plus importantes.;Quest'uomo utilizza le vecchie tecniche di monitoraggio di costruzione delle navi per scoprire dove si annidi una nuova minaccia.;Usa la vieja tйcnica de la plana naval de seguir el movimiento de los barcos para saber dуnde se estб gestando una nueva amenaza.;Der Marine-Aufklдrungsspezialist setzt die alte Technik des Marinestabs ein und beobachtet die Stationierung von Schiffen, um sich ьber anbahnende Gefahren zu informieren.;Specjalista od wywiadu morskiego uїywa starej wojskowej metody analizowania ruchуw statkуw, w celu przewidzenia sk№d nadejdzie niebezpieczeсstwo.;;Специалист по морской разведке использует отработанные в генштабе методы слежения за базированием флота противника, чтобы предвидеть возникновение новой угрозы.;;;X
DPERSONALITY_SCHOOL_OF_MANOEUVRE;This Chief of Staff teaches that Maneuver and Speed are the essence of modern warfare.;Ce chef d’йtat-major appartient а la tradition militaire de l’йcole de la manoeuvre, une formation au sein de laquelle on enseigne et йtudie la stratйgie et la tactique en soulignant que la manoeuvre et la vitesse sont les mots clйs de l’art militaire moderne.;Questo Capo di Stato Maggiore и convinto che manovre e velocitа siano l'essenza della moderna condotta di guerra.;Este Jefe del Estado Mayor pertenece a una tradiciуn educativa conocida como 'la escuela de maniobra' que enseсa y regula tбcticas y estrategias, y donde la maniobra y la velocidad son la esencia de la guerra moderna.;Dieser Stabschef gehцrt einer 'Schule des Manцvers ' genannten Lehrrichtung an. Diese vermittelt das strategische und taktische Wissen ьber Manцver und Geschwindigkeit, wichtigen Punkten der modernen Kriegsfьhrung.;Ten szef sztabu naleїy do szkoіy manewru - tradycji nauczaj№cej, їe podstaw№ dobrej strategii i taktyki jest szybkoњж i duїa manewrowoњж.  ;;Этот начальник генерального штаба придерживается традиций школы маневра, согласно которой маневр и скорость являются сущностью современного военного искусства.;;;X
DPERSONALITY_SCHOOL_OF_FIRE_SUPPORT;This Chief of Staff teaches that Fire Support is the essence of modern warfare.;Ce chef d’йtat-major appartient а la tradition militaire de l’йcole du soutien d’artillerie, une formation au sein de laquelle on enseigne et йtudie la stratйgie et la tactique avec l’optique que le soutien d’artillerie est le mot clй de l’art militaire moderne.;Questo Capo di Stato Maggiore и convinto che il fuoco di copertura sia l'essenza della moderna condotta di guerra.;Este Jefe del Estado Mayor pertenece a una tradiciуn educativa conocida como 'la escuela del apoyo de fuego' que enseсa y regula tбcticas y estrategias, y donde el apoyo de fuego es la esencia de la guerra moderna.;Dieser Stabschef gehцrt einer 'Schule der Feuerunterstьtzung' genannten Lehrrichtung an. Diese vermittelt das strategische und taktische Wissen ьber die Feuerunterstьtzung, einem wichtigen Punkt der modernen Kriegsfьhrung.;Ten szef sztabu naleїy do szkoіy wsparcia ogniowego - tradycji nauczaj№cej, їe podstaw№ dobrej strategii i taktyki jest odpowiednie wsparcie ogniowe.  ;;Этот начальник генерального штаба придерживается традиций школы огневой поддержки, согласно которой огневая поддержка войск является сущностью современного военного искусства.;;;X
